,action,instance_id,step,type,strtype
579,6,5064,3,"['26', '24']","['26', '24']"
580,5,5064,4,['26'],['26']
581,8,5064,5,['14'],['14']
582,1,5064,6,"['16', '14']","['16', '14']"
583,9,5064,7,"['24', '24']","['24', '24']"
584,9,5064,8,['24'],['24']
585,9,5065,0,"['24', '24']","['24', '24']"
586,9,5065,1,"['24', '24']","['24', '24']"
587,9,5065,2,['24'],['24']
588,8,5065,3,['16'],['16']
589,7,5065,4,"['16', '14']","['16', '14']"
590,6,5065,5,['14'],['14']
591,5,5065,6,['26'],['26']
592,6,5065,7,"['14', '14']","['14', '14']"
593,1,5065,8,"['26', '24']","['26', '24']"
594,9,5066,0,['16'],['16']
595,8,5066,1,"['14', '14']","['14', '14']"
596,7,5066,2,['24'],['24']
597,8,5066,3,['14'],['14']
598,6,5066,4,['26'],['26']
599,5,5066,5,"['14', '16']","['14', '16']"
600,1,5066,6,"['26', '24']","['26', '24']"
601,7,5066,7,"['24', '24']","['24', '24']"
602,4,5066,8,"['24', '24']","['24', '24']"
603,9,5067,0,['24'],['24']
604,9,5067,1,"['24', '24']","['24', '24']"
605,9,5067,2,"['24', '24']","['24', '24']"
606,8,5067,3,"['16', '14']","['16', '14']"
607,7,5067,4,['14'],['14']
608,6,5067,5,['26'],['26']
609,8,5067,6,['16'],['16']
610,7,5067,7,"['14', '14']","['14', '14']"
611,5,5067,8,"['26', '24']","['26', '24']"
612,9,5068,0,"['24', '24']","['24', '24']"
613,8,5068,1,['16'],['16']
614,9,5068,2,"['24', '24']","['24', '24']"
615,7,5068,3,['14'],['14']
616,7,5068,4,"['14', '14']","['14', '14']"
617,6,5068,5,"['16', '14']","['16', '14']"
618,5,5068,6,['26'],['26']
619,9,5068,7,['24'],['24']
620,1,5068,8,"['24', '26']","['24', '26']"
621,9,5069,0,['24'],['24']
622,8,5069,1,['26'],['26']
623,7,5069,2,"['14', '16']","['14', '16']"
624,9,5069,3,"['24', '24']","['24', '24']"
625,6,5069,4,"['26', '24']","['26', '24']"
626,5,5069,5,"['14', '14']","['14', '14']"
627,4,5069,6,['16'],['16']
628,7,5069,7,['14'],['14']
629,9,5069,8,"['24', '24']","['24', '24']"
630,9,5070,0,['16'],['16']
631,8,5070,1,['26'],['26']
632,7,5070,2,"['24', '24']","['24', '24']"
633,7,5070,3,['24'],['24']
634,6,5070,4,"['24', '24']","['24', '24']"
635,5,5070,5,['14'],['14']
636,1,5070,6,"['14', '16']","['14', '16']"
637,5,5070,7,"['14', '14']","['14', '14']"
638,9,5070,8,"['24', '26']","['24', '26']"
639,9,5071,0,"['24', '24']","['24', '24']"
640,8,5071,1,"['16', '14']","['16', '14']"
641,7,5071,2,"['24', '26']","['24', '26']"
642,9,5071,3,['24'],['24']
643,6,5071,4,['14'],['14']
644,5,5071,5,['26'],['26']
645,6,5071,6,"['14', '14']","['14', '14']"
646,8,5071,7,['16'],['16']
